name,affinity
antivir2536,-5.7
antivir3626,-6.5
antivir2601,-6.5
antivir2630,-5.5
antivir1522,-6.1
antivir293,-5.9
antivir2802,-6.3
antivir1452,-6.4
antivir3680,-5.6
antivir1583,-5.2
antivir337,-6.7
antivir628,-6.3
antivir2178,-5.7
antivir625,-7.1
antivir2754,-5.6
antivir598,-6.3
antivir3805,-6.3
antivir2277,-6.6
antivir2923,-6.5
antivir2333,-6.0
antivir1384,-6.3
antivir2728,-6.5
antivir2208,-5.5
antivir1682,-6.5
antivir3125,-4.3
antivir760,-5.6
antivir1255,-6.3
antivir886,-6.2
antivir1468,-6.0
antivir1308,-5.7
antivir245,-6.7
antivir1966,-6.5
antivir3040,-5.9
antivir3724,-5.9
antivir2259,-6.7
antivir2599,-6.4
antivir2691,-7.0
antivir3168,-5.2
antivir2231,-6.9
antivir495,-6.2
antivir1747,-6.2
antivir1831,-6.7
antivir1787,-5.9
antivir1590,-6.4
antivir3570,-6.2
antivir603,-6.8
antivir3293,-5.7
antivir97,-7.2
antivir856,-6.3
antivir616,-6.2
antivir129,-7.7
antivir1595,-6.0
antivir1954,-6.4
antivir3172,-5.3
antivir145,-6.6
antivir1481,-6.7
antivir3170,-5.5
antivir119,-7.3
antivir947,-4.9
antivir3713,-6.4
antivir2976,-6.4
antivir1671,-5.8
antivir1359,-5.8
antivir1446,-6.5
antivir3302,-5.6
antivir159,-5.3
antivir587,-5.9
antivir3075,-4.6
antivir4,-5.8
antivir2390,-6.6
antivir2502,-6.5
antivir1431,-6.4
antivir3038,-5.6
antivir2991,-6.5
antivir1869,-5.4
antivir2193,-6.7
antivir2135,-6.5
antivir253,-6.5
antivir653,-6.1
antivir1668,-6.4
antivir826,-7.2
antivir595,-7.0
antivir841,-5.0
antivir459,-5.9
antivir1808,-5.4
antivir699,-6.1
antivir2743,-5.4
antivir510,-5.4
antivir416,-6.2
antivir2652,-5.8
antivir1713,-5.6
antivir2618,-6.4
antivir2458,-6.9
antivir2833,-5.3
antivir1332,-6.2
antivir1328,-5.6
antivir1105,-5.8
antivir2658,-7.4
antivir1310,-5.6
antivir2975,-6.5
antivir1263,-6.0
antivir1698,-6.5
antivir2427,-6.1
antivir2015,-6.0
antivir2024,-5.9
antivir2446,-6.8
antivir3827,-5.6
antivir1171,-5.8
antivir205,-5.9
antivir968,-4.9
antivir1247,-6.3
antivir3481,-6.0
antivir1988,-6.4
antivir838,-6.7
antivir3199,-5.7
antivir1973,-6.6
antivir929,-6.0
antivir1306,-5.8
antivir2595,-5.6
antivir1177,-5.6
antivir3456,-5.8
antivir2795,-5.2
antivir482,-5.3
antivir1501,-6.5
antivir1772,-6.0
antivir2228,-6.1
antivir2370,-5.8
antivir2930,-5.7
antivir2161,-5.6
